Target_Location,Name,Cuisine,Rating,Cost_for_Two
Mathura,Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",4.0,600.0
Mathura,The Foodies Bar,"Fast Food, Momos, Burger, Desserts, Coffee, Shake, Beverages",4.4,1000.0
Mathura,The Belgian Waffle Co.,"Waffle, Pancake, Ice Cream, Desserts, Beverages",4.0,200.0
Mathura,Brijwasi Centrum,"Chinese, Continental, Desserts, Drinks Only, Fast Food, Gujarati, Ice Cream",4.2,1000.0
Mathura,Centre Point,"South Indian, North Indian, Chinese",4.9,250.0
Mathura,The Trunk Bar & Restaurant,"North Indian, Mughlai, Biryani, Kebab, Asian, Thai, Chinese, Beverages",3.9,1000.0
Mathura,Tomar Guest House,"North Indian, Chinese",4.0,300.0
Mathura,Haldiram's,"North Indian, Mithai, Street Food, South Indian, Chinese, Beverages",3.0,400.0
Mathura,Da Pizza Point,"Pizza, Burger, Fast Food, Street Food",3.7,300.0
Mathura,McDonald's,"Cafe, Beverages, Burger, Fast Food, Coffee",3.2,500.0
Mathura,Cha Maska,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Tea",4.0,1000.0
Mathura,Pine & Dine Rooftop Cafe,"Burger, Momos, Fast Food, North Indian, Shake, Beverages",4.0,500.0
Mathura,Gola Patties & Tea Stall,"Fast Food, Bakery, Desserts",4.1,200.0
Mathura,Hot Bite Fresh And Tasty Food,"Fast Food, Chinese, Street Food",3.4,200.0
Mathura,The Burger Hub,"Pizza, Fast Food, Street Food",3.8,350.0
Mathura,Pizza Paradise,"Fast Food, Chinese, Street Food",3.8,300.0
Mathura,Agrawal Restaurant (Since 1969),"North Indian, Fast Food",3.9,300.0
Mathura,Mittal Foods,"North Indian, Chinese",3.9,350.0
Mathura,Bhole Brijwasi Bhojnalay,"North Indian, Chinese",3.0,300.0
Mathura,The Pizza Hub,"Fast Food, Pizza, Burger, Sandwich, Beverages, Street Food, South Indian",4.0,300.0
Mathura,Shankar Mithai Wala,"Mithai, North Indian, Beverages",4.6,350.0
Mathura,Burger King,"Burger, Fast Food, Beverages",3.8,350.0
Mathura,Maa Gaura Restaurant,"North Indian, Chinese, Street Food",4.0,450.0
Mathura,Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",2.4,400.0
Mathura,Sanskar Foods,"Fast Food, North Indian, Beverages",4.0,300.0
Mathura,KFC,"Burger, Fast Food, Rolls",3.6,500.0
Mathura,Hotel Brijwasi Royal,"South Indian, Sandwich, North Indian, Chinese, Beverages",3.6,1000.0
Mathura,Dosa Plaza - Hotel Divinity,"South Indian, North Indian, Chinese",4.0,550.0
Mathura,New Pizza Point Restaurant,"Pizza, Burger, Street Food, Fast Food",4.0,300.0
Mathura,Gokul Hotel & Family Restaurant,"North Indian, Beverages",4.0,200.0
Mathura,Rudr Shiva By Mama Yadav,"North Indian, Chinese",3.6,1000.0
Mathura,Prince Restaurant,"Fast Food, North Indian, Charcoal Chicken, Biryani",4.6,1000.0
Mathura,Rahul Bakers,"Bakery, North Indian",3.9,450.0
Mathura,Shri Giriraj Ji Parathe Wale,"North Indian, Chinese",4.0,250.0
Mathura,Shyambhog Family Restaurant,"North Indian, Chinese, Fast Food",4.0,400.0
Mathura,Vijay Store & Confectioners,"North Indian, Chinese",4.0,200.0
Mathura,The Elyra Cafe & Restaurant,"North Indian, South Indian, Chinese, Pizza, Fast Food, Desserts, Shake, Beverages",4.0,1000.0
Mathura,Lazeej,"Fast Food, North Indian, Street Food, Juices",4.0,200.0
Mathura,Vip Pizza,"Street Food, Fast Food, Pizza, Shake, Beverages",4.0,300.0
Mathura,Majeed Restaurant,"Biryani, Mughlai, Afghan",3.7,200.0
Mathura,Standard Cake Bank,"Pizza, Fast Food, Burger",3.8,200.0
Mathura,OM Sweet Center,"Mithai, Street Food",4.8,250.0
Mathura,Shri Giriraj Subhadra Bhojnalaya,"Fast Food, Shake, Beverages",4.0,200.0
Mathura,Burger Monk,"Burger, Pizza, Sandwich, Wraps, Fast Food, Shake, Beverages",4.1,450.0
Mathura,Hotel Heera Kunj Residency,"North Indian, Chinese, South Indian",3.9,300.0
Mathura,Coco Chocolate Company,"Desserts, Beverages, Fast Food",3.1,300.0
Mathura,Pastas By Pizza Hut,"Pasta, Italian",4.0,200.0
Mathura,Foodies Vampire,"Pizza, Burger, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",4.0,400.0
Mathura,Burger Point,"Burger, Fast Food",3.7,300.0
Mathura,Basera Restaurant,"North Indian, Fast Food",3.9,300.0
Mathura,Rhea's Cafe,"South Indian, Street Food, Beverages",3.8,200.0
Mathura,Madhav Muskan Residency,"North Indian, Fast Food, Shake",3.9,300.0
Mathura,SAM bakers,"Fast Food, Bakery",4.0,200.0
Mathura,Tasty Fresh,"North Indian, Pizza, Burger, Chinese, Fast Food",4.0,300.0
Mathura,Kanhaiya Bhojnalay,"North Indian, Chinese",3.2,300.0
Mathura,La Pino'z Pizza,"North Indian, Chinese",3.7,300.0
Mathura,Pizza And Pizza,"Fast Food, Pizza, Pasta, Burger, Rolls, Momos, Beverages, Shake",2.6,300.0
Mathura,Aryavilas,"North Indian, Chinese, Fast Food, Beverages",4.0,1000.0
Mathura,DND Cafe & Restro,"Fast Food, Pasta, Pizza, Chinese, Shake, Beverages",3.3,300.0
Mathura,Oven 180,"North Indian, Chinese",3.4,100.0
Mathura,Shankar Foods,"Chinese, North Indian, South Indian",4.1,400.0
Mathura,TAF The Annapurna Foods,"North Indian, Chinese, Street Food, Beverages",4.0,450.0
Mathura,Brijwasi Krishna Nagar,"North Indian, South Indian, Fast Food",4.0,200.0
Mathura,Anita Bakers,"Bakery, Desserts, Burger, Pizza, Street Food",4.0,300.0
Mathura,Fox Fire,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages",3.4,400.0
Mathura,Raman Misthan Bhandar,"Mithai, Desserts",4.0,200.0
Mathura,Taj Hotel,"North Indian, Chinese",4.0,400.0
Mathura,Basera Khel Gaon,"North Indian, Chinese",4.0,200.0
Mathura,Kanhiya Bhojnalya,"North Indian, Chinese",4.0,300.0
Mathura,MADHAVAM,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",3.4,250.0
Mathura,Fat Tiger Multicuisine Restaurant,"North Indian, Chinese",4.0,350.0
Mathura,Punjabi Rasoi Chicken Corner - NH 2,"Mughlai, North Indian",3.2,300.0
Mathura,Hashim Chicken Biryani Wale,"North Indian, Chinese",3.1,200.0
Mathura,Kerala Coffee House,"South Indian, Fast Food, North Indian",3.9,200.0
Mathura,Burger Budds,"Burger, Sandwich, Pizza, Wraps, Fast Food, Shake, Beverages",4.2,400.0
Mathura,Gola Paties & Confectionery,"North Indian, Chinese",3.6,250.0
Mathura,Winni Cakes & More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle, Beverages",3.4,500.0
Mathura,Y & Y Veg Grill,"North Indian, Chinese, Momos, Fast Food",3.3,300.0
Mathura,Radhika Sweets,"Mithai, Fast Food",3.6,200.0
Mathura,Thaliwala,"North Indian, Sandwich",4.0,350.0
Mathura,Chakhna,"Street Food, Momos, Fast Food",4.1,250.0
Mathura,Moti Mahal Delux,"Mughlai, North Indian, Continental, Chinese, Biryani",3.9,600.0
Mathura,Hotel Abhinandan,"North Indian, Mughlai",3.9,400.0
Mathura,Taj Hotel,"North Indian, Biryani",4.0,200.0
Mathura,Shankar N Modi Bakers Zone,"Bakery, Chinese, Continental, Burger, Sandwich, Fast Food, Shake",4.2,400.0
Mathura,BMAC By Kasey,"Cafe, Fast Food, Bakery, Desserts, Beverages",3.5,500.0
Mathura,Kcr Sainik Restaurant,"North Indian, South Indian",3.9,250.0
Mathura,MunchBox,"Chinese, North Indian",3.9,300.0
Mathura,Rahul Petiz Corner,"North Indian, Chinese",2.9,150.0
Mathura,Hotel Sheetal Regency,"North Indian, Chinese, Beverages, Desserts",3.7,1000.0
Mathura,Punjabi Rasoi Since 2001,"North Indian, Chinese",3.9,300.0
Mathura,Pizza House,"Burger, Sandwich, Fast Food, Street Food, Pizza",3.7,350.0
Mathura,New Punjabi Rasoi Chicken Corner,"Charcoal Chicken, North Indian, Mughlai",4.0,400.0
Mathura,Manhar Family Bhojnalaya,"North Indian, Chinese",3.9,650.0
Mathura,Golden Spoon Cafe,"Pizza, Momos, Fast Food, Pasta, Chinese, Street Food, Shake, Beverages",4.0,450.0
Mathura,Hotel Guru Kripa Grand,"North Indian, Burger, Chinese, Fast Food, Desserts, Beverages",4.0,1000.0
Mathura,Mayur Cafe,"Cafe, Coffee, Pizza, Pasta, Fast Food, Sandwich, Desserts, Beverages",3.9,600.0
Mathura,United Canteen,"South Indian, North Indian, Beverages, Chinese, Street Food, Desserts",3.7,350.0
Mathura,The Pizzeria Hub,"Pizza, Fast Food, Chinese, Beverages",3.6,500.0
Mathura,The Taj Family Restaurant,"North Indian, Mughlai",4.0,600.0
Mathura,Jai Shree Restaurant,"North Indian, Chinese",3.9,250.0
Mathura,Cafe BLU,"Burger, Fast Food, Beverages, Cafe",4.3,250.0
Mathura,Craving King,"North Indian, South Indian, Chinese, Fast Food, Momos, Beverages, Continental, Desserts",4.1,750.0
Mathura,Aahar Family Restaurant,"North Indian, Chinese, Street Food, Beverages",4.0,400.0
Mathura,Barista Coffee,"Cafe, Coffee, Beverages, Fast Food",3.2,500.0
Mathura,Titu Gola Veg Biryani,"North Indian, Street Food, Chinese, Biryani",3.9,200.0
Mathura,The Hideout Cafe,"North Indian, South Indian, Pizza, Fast Food, Momos, Street Food, Chinese, Shake",3.4,350.0
Mathura,Urban Sky - Rooftop Cafe & Bar,"Mediterranean, Thai, Mexican, Chinese, Italian, Beverages",2.9,600.0
Mathura,Punjabi Tadka,"North Indian, Mughlai",3.9,500.0
Mathura,October Shakes & Snacks,"Burger, Pizza, Fast Food, Sandwich, Wraps, Shake, Tea, Beverages",3.8,400.0
Mathura,Brijwasi Bakers,"Bakery, Fast Food",3.9,300.0
Mathura,Retro Cafe,"Momos, Chinese, Wraps, Sandwich, Fast Food, Street Food",3.8,400.0
Mathura,Vijay Food - Veg & Non Veg,"North Indian, Kebab, Chinese",4.0,1000.0
Mathura,Chatkara Fast Food,"North Indian, Chinese",3.5,250.0
Mathura,Goyal Cakes And Baker,"North Indian, Chinese",3.6,150.0
Mathura,Le Chaska Chaat,"South Indian, Street Food, Chinese, Maharashtrian, North Indian",4.0,300.0
Mathura,Majestic's Pizza Pro,"Pizza, Burger, Fast Food",3.3,600.0
Mathura,Dawat Restaurant,"North Indian, Chinese, Street Food, Beverages",2.8,450.0
Mathura,The Khandooz Cafe,"Chinese, Fast Food, Beverages, Shake, Burger, Momos",4.0,350.0
Mathura,SI & Sa Food Cafe,"Chinese, Momos, Shake",3.8,200.0
Mathura,Chill 'n' Grill,"Fast Food, Pizza, Burger, Momos, Street Food, Beverages",3.9,250.0
Mathura,Uptowns Mumbai Cafe,"South Indian, Street Food, Chinese, Momos, Shake, Beverages",3.3,400.0
Mathura,Bansal Foods,"North Indian, Chinese",3.9,250.0
Mathura,Ice Spice,"Beverages, Chinese, Shake, North Indian, South Indian",3.9,300.0
Mathura,Savage Cafe And Bakery,"Chinese, Sandwich, Burger, Pizza, Pasta, Beverages",3.4,300.0
Mathura,Hotel Taj,"North Indian, Mughlai, Biryani",4.0,800.0
Mathura,Two21 Cafe,"Cafe, Burger, Chinese, Coffee, Desserts, French, Shake",4.4,500.0
Mathura,Anandvan,"North Indian, Fast Food",3.7,700.0
Mathura,Cozy Cafe,"Fast Food, Beverages",3.9,350.0
Mathura,Punjabi Restaurant,"North Indian, Chinese",3.8,200.0
Mathura,Raghunath Das Prabhudayal Mithai wale,"Mithai, Fast Food, Beverages",3.9,150.0
Mathura,1 More Slice Pizza,"Pizza, Burger, Fast Food, Beverages",3.7,300.0
Mathura,Brij Bites,"North Indian, South Indian",3.9,150.0
Mathura,Charu Confectionery,"Fast Food, Bakery",3.9,200.0
Mathura,Planet of kids,"Fast Food, Street Food, Tea, Coffee, Desserts, Ice Cream",4.0,450.0
Mathura,Zoca Cafe & Family Restaurant,"North Indian, Italian, Oriental, Chinese, Fast Food, Pizza, Sandwich, Salad",4.0,1000.0
Mathura,Amritsari Rasoi,"North Indian, Chinese",3.4,100.0
Mathura,New Aahar Restaurant,"North Indian, Chinese",3.5,250.0
Mathura,Chai Sutta Bar,"Fast Food, Sandwich, Beverages, Tea",3.9,300.0
Mathura,The Midnight Cafe And Restaurant,"Sandwich, Wraps, Pasta, Pizza, Chinese, Street Food, Shake, Beverages",4.0,300.0
Mathura,Muskan Guest House,"South Indian, North Indian, Fast Food, Chinese",4.0,250.0
Mathura,Momomia - Love In Every Bite,"Chinese, Fast Food, Shake, Beverages, Street Food, Momos",3.0,250.0
Mathura,Tulsi Restaurent,"North Indian, Chettinad, Fast Food",3.4,300.0
Mathura,Cyber Cafe Restaurant,"North Indian, South Indian",3.5,100.0
Mathura,Big Bills Foods,"North Indian, Fast Food, Pizza, Bakery, Beverages, Continental",3.8,300.0
Mathura,Wah Mathura,"North Indian, Chinese",3.8,300.0
Mathura,The Food Garage,"Continental, Pizza, American, Fast Food",3.9,250.0
Mathura,Rolls Mania & Tea Point,"Rolls, Tea, Street Food",3.3,100.0
Mathura,The Mathura Cafe,"Pizza, Burger, Sandwich, Wraps, Maharashtrian",3.9,150.0
Mathura,Junoon Pizza,"Pizza, Beverages",3.3,500.0
Mathura,Wah JI Wah Restaurant,"Chinese, North Indian",3.2,350.0
Mathura,Aman Chicken And Fish Fry Restaurant,"North Indian, Mughlai",2.7,350.0
Mathura,Galaxy Cafe & Restro,"North Indian, Chinese, Pizza, Sandwich, Momos, Fast Food, Shake, Beverages",4.0,400.0
Mathura,Cafe GF,"Fast Food, Burger, Sandwich",3.9,250.0
Mathura,Mala Guest House And Restaurant,"North Indian, Street Food, Coffee, Desserts",3.9,300.0
Mathura,The Foodies Hut,"Fast Food, Pizza, Street Food, Chinese, Sandwich",3.9,350.0
Mathura,Busy Beans Cafe,"Rolls, Pizza, Sandwich, Pasta, Fast Food, Coffee, Shake, Beverages",3.8,400.0
Mathura,Funduz Cafe,"American, Cafe",3.7,300.0
Mathura,Hotel Aatithya Palace,"North Indian, Chinese, Street Food",3.9,350.0
Mathura,Shri Krishna Foods,"South Indian, North Indian, Fast Food, Chinese",3.6,300.0
Mathura,Date Soul Mate Cafe,"Fast Food, Beverages",3.3,300.0
Mathura,@4 PM,"Chinese, North Indian, Rolls, Momos, Pasta, Burger, Fast Food, Beverages",3.9,350.0
Mathura,Hariom Ji Chamcham Wale,"Mithai, Fast Food",3.8,250.0
Mathura,Bulaki Chai Wale,"North Indian, Chinese",3.9,100.0
Mathura,Khao Piyo Jiyo,"Chinese, North Indian",3.6,200.0
Mathura,Loft Cafe & Restaurant,"Pizza, North Indian, Fast Food, Burger, Sandwich, Beverages, Shake, Salad",3.9,400.0
Mathura,Zaika -The Mansion,"Chinese, Cafe, Continental, North Indian, Italian, South Indian",3.4,1000.0
Mathura,Gup Shup Cafe And Foods,"Fast Food, North Indian",3.9,450.0
Mathura,Rock N Roll Foods,"Chinese, North Indian, South Indian, Momos, Street Food, Beverages",3.7,400.0
Mathura,The Pizza Empire,"North Indian, Chinese",3.1,400.0
Mathura,Nikhil Family Restaurant,"North Indian, Chinese",3.8,100.0
Mathura,Mohit Cafe,"Sandwich, Chinese, Burger, Pizza",3.3,200.0
Mathura,7 Minutes,"Beverages, Juices, Fast Food",3.4,350.0
Mathura,Pizza Olive,"Pizza, Fast Food",3.9,300.0
Mathura,The Biryani Wala,"Biryani, Salad, Street Food",4.0,150.0
Mathura,Bhole Misthan Bhandar,"Mithai, Fast Food",3.4,300.0
Mathura,Zoomeno'd Pizza,"Pizza, Burger, Fast Food",4.0,300.0
Mathura,Marvello Shake,"Beverages, Ice Cream, Shake",3.6,300.0
Mathura,Hugs & Bite,"Fast Food, Coffee, Chinese, Street Food, Ice Cream, Desserts, Beverages",4.0,600.0
Mathura,Food Hut Restaurant,"North Indian, Fast Food, Chinese",3.4,250.0
Mathura,Rohit Confectionery,"Fast Food, Bakery, Desserts",3.2,200.0
Mathura,Hotel Galaxy,"South Indian, North Indian, Chinese, Shake",3.2,400.0
Mathura,Gola Confectionary,"North Indian, Chinese",3.3,150.0
Mathura,Directors Lounge,"Tea, Street Food, Fast Food, Burger, Sandwich, Chinese, North Indian, Beverages",3.4,150.0
Mathura,Sainik Family Restaurant,"Chinese, North Indian, Street Food, Beverages",4.0,400.0
Mathura,The Gravy Talk,"North Indian, Chinese, Sandwich",3.5,500.0
Mathura,Ponia Sweets And Restaurant,"Mithai, Chinese, Fast Food, Ice Cream, Beverages",4.0,400.0
Mathura,Yadav Family Dhaba,"North Indian, Beverages",4.0,350.0
Mathura,One Bite,"Burger, Pizza, Fast Food, Desserts, Beverages",4.0,250.0
Mathura,Momos Hub,"Momos, Rolls, Street Food",4.0,250.0
Mathura,"Gianis - Ice Cream, Shakes & Sundaes","North Indian, Chinese",4.0,250.0
Mathura,Cake Hut,"Bakery, Desserts, Chinese",4.0,200.0
Mathura,Bhookha Sand,"Fast Food, Beverages",4.0,200.0
Mathura,MBA Chaiwala,"Tea, Fast Food, Burger, Sandwich, Pizza, Street Food, Shake, Beverages",4.0,300.0
Mathura,Chaichowk,"Chinese, Continental, Sandwich, North Indian, Pizza, Momos, Desserts, South Indian",2.7,350.0
Mathura,Rajput Food,"North Indian, Chinese",2.8,100.0
Mathura,Gagga Chicken Darbar,"Mughlai, Biryani, North Indian",4.0,150.0
Mathura,BK Cafe By Burger King,"Cafe, Fast Food, Beverages",4.0,500.0
Mathura,Brijwasi Chole Kulche Vala,"North Indian, Chinese",4.0,150.0
Mathura,The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich",4.0,300.0
Mathura,Taj Hotel,"North Indian, Mughlai, Seafood",4.0,450.0
Mathura,Oma Pehalwan Kachori Wale,"Street Food, Desserts",4.0,100.0
Mathura,Maa Ki Rasoi Veg Restaurant,"North Indian, Fast Food, Chinese, Street Food, Shake",4.0,600.0
Mathura,Khana Khazana Family Restaurant,"North Indian, Chinese",4.0,300.0
Mathura,Barista,"North Indian, Chinese",4.0,200.0
Mathura,Chaudhary Family Dhaba,"North Indian, Chinese",4.0,350.0
Mathura,The Down Town Cafe And Restaurant,"Burger, Sandwich, Fast Food, Street Food, Pizza, Pasta, Shake",4.0,250.0
Mathura,Veer Chaap Express,"North Indian, Rolls",4.0,400.0
Mathura,Braj Bakes & Cakes,"Bakery, Fast Food",4.0,400.0
Mathura,NANDA’S CHHOLE BHATURE,"North Indian, Chinese",4.0,300.0
Mathura,Shri Ji Family Restaurant,"North Indian, Chinese, Pizza, Beverages",4.0,1000.0
Mathura,Pappu The Dhaba,"North Indian, Chinese",4.0,300.0
Mathura,Oven 360 Degree,"Pizza, Fast Food, Beverages",4.0,350.0
Mathura,Bansal Bakers,"Bakery, Fast Food",4.0,250.0
Mathura,Babarchi By Heera,"North Indian, Chinese",4.0,1000.0
Mathura,Chaat Chaupal,"Momos, Burger, Pizza, Fast Food, Shake",4.0,250.0
Mathura,Yadav Dal Wati Wala,"Street Food, Rajasthani",4.0,250.0
Mathura,Bacchu Dhaba,"North Indian, Chinese",4.0,250.0
Mathura,The Vibe Cafe & Restaurant,"Pizza, Sandwich, Wraps, Fast Food, North Indian, Chinese, Shake, Beverages",4.0,350.0
Mathura,Bhawna Restaurant,"North Indian, Chinese",4.0,250.0
Mathura,Food Court,"North Indian, Chinese",4.0,200.0
Mathura,Gokul Hotel And Family Restaurant,"North Indian, Chinese",4.0,200.0
Mathura,Moon Light Cafe,"Burger, Pizza, Street Food, Fast Food, Chinese, Shake",4.0,300.0
Mathura,Do Bhai Pizza Wale,"North Indian, Chinese",4.0,250.0
Mathura,The Hangout Cafe,"North Indian, Chinese, Fast Food, Pizza, Beverages",4.0,500.0
Mathura,Agrawal Family Dhaba,"North Indian, Chinese",4.0,400.0
Mathura,Heera Crystal Inn,"North Indian, Chinese",4.0,600.0
Mathura,Hari Mohan Misthan Bhandar Hathras Wale Since 1978,"Street Food, Mithai",4.0,250.0
Mathura,Hotel Goverdhan Palace And Restaurant,"North Indian, South Indian, Chinese",4.0,250.0
Mathura,Golden Spoon Cafe & Restaurant,"North Indian, Pizza, Momos, Burger, Sandwich, Street Food, Shake, Beverages",4.0,400.0
Mathura,Jai Gurudev Family Restaurant,"North Indian, South Indian, Chinese, Beverages",4.0,400.0
Mathura,Verma Patties And Food,"Fast Food, Street Food",4.0,300.0
Mathura,Verma Patties & Food's,"Street Food, Sandwich, Pizza, Burger, Fast Food, Momos, Shake, Beverages",4.0,450.0
Mathura,The Pizza Point,"Pizza, Burger, Sandwich, Fast Food, Street Food, Shake",4.0,450.0
Mathura,The Food Break,"North Indian, Chinese",4.0,500.0
Mathura,Anna South Indian Masala Dosa,"North Indian, Chinese",4.0,200.0
Mathura,Babylon Restaurant,"North Indian, South Indian, Chinese, Beverages",4.0,1100.0
Mathura,Modern Lounge,"North Indian, Mughlai, Chinese",4.0,550.0
Mathura,Grape & Grill,"North Indian, Mughlai, Chinese",4.0,1000.0
Mathura,Pavelian 85,"North Indian, Chinese, Bar Food, Continental, Beverages",4.0,1200.0
Mathura,Tandoori Zaika,"North Indian, Mughlai, Rolls",4.0,500.0
Mathura,Radha Rani Bhojnalay & Fast Food,"North Indian, Fast Food",4.0,300.0
Mathura,Pahalwan Dhaba And Restaurant,"North Indian, Chinese",4.0,400.0
Mathura,Gorge Burger Centre,"Burger, Fast Food",4.0,200.0
Mathura,Silver Oaks Inn,"North Indian, Chinese",4.0,500.0
Mathura,Vrinda Sarovar,"North Indian, South Indian, Chinese, Salad, Beverages",4.0,1000.0
Mathura,Twist Of Chatkara,"North Indian, South Indian, Chinese, Fast Food",4.0,200.0
Mathura,Anna Ka Dukaan,"South Indian, Beverages",4.0,300.0
Mathura,Patties & Tea Corner Mba Wala,"North Indian, Chinese",4.0,100.0
Mathura,Papa Da Pizza,"North Indian, Chinese",4.0,300.0
Mathura,MK Maa Ki Rasoi,"North Indian, Chinese",4.0,300.0
Mathura,American Cafe,"North Indian, Rolls, Pizza, Chinese, Burger, Sandwich, Fast Food, Shake",4.0,500.0
Mathura,Kanchan Chat Palace And Confectioner,"North Indian, Chinese",4.0,150.0
Mathura,Maa Vaishnavi Food,"Chinese, South Indian, North Indian",4.0,350.0
Mathura,Rajput Family Restaurant,"North Indian, Chinese",4.0,350.0
Mathura,Hotel Gulmohar,"North Indian, Chinese, Salad, Fast Food, Beverages",4.0,1000.0
Mathura,Kanha Ki Rasoi,"North Indian, Chinese",4.0,200.0
Mathura,Bhagwan Family Dhaba,"North Indian, Chinese",4.0,350.0
Mathura,Queen's Kitchen @ Mathura,"Fast Food, Chinese, South Indian, Momos",4.0,200.0
Mathura,Miami Cafe,"North Indian, Chinese, Burger, Momos, Pizza, Fast Food, Shake, Beverages",4.0,350.0
Mathura,Neelkanth Vyanjan,"North Indian, Chinese",4.0,250.0
Mathura,Brijwasi Fast Food,"South Indian, Street Food, Fast Food",4.0,150.0
Mathura,Agrawals Restaurant & Banquets,"North Indian, Chinese",4.0,500.0
Mathura,Hotel Radhika Silver & Resturant,"North Indian, Biryani",4.0,200.0
Mathura,Kullad Cafe,"Tea, Shake, Beverages, North Indian, Chinese, Pizza, Fast Food, Street Food",4.0,450.0
Mathura,Baba Da Dhaba,"North Indian, Chinese",4.0,300.0
Mathura,Gobblers Rolls & Bowls,"North Indian, Chinese, Fast Food, Biryani, Rolls, Sandwich, Shake, Beverages",4.0,350.0
Mathura,The Love cafe,"Chinese, Fast Food, Street Food, Sandwich, Burger, Pizza, Momos, Beverages",4.0,200.0
Mathura,Wah Chinese,"North Indian, Chinese",4.0,200.0
Mathura,Da Pizza Hub,"Burger, Pizza, Fast Food, Pasta",4.0,250.0
Mathura,Hot Meal (Meal @50),"North Indian, Chinese",4.0,200.0
Mathura,Pizza Harrison,"Pizza, Burger, Pasta",4.0,450.0
Mathura,The Bridge,"North Indian, Chinese, Fast Food",4.0,500.0
Mathura,Murari Sweets And Namkeen,"Street Food, Mithai",4.0,150.0
