Target_Location,Name,Cuisine,Rating,Cost_for_Two
Mathura,Chatore Fast Food & Pizza Point,"Street Food, Fast Food, North Indian, Chinese, Beverages, Rolls, Biryani",4.0,300.0
Mathura,Deepak Swadist Chicken And Fish Rasoi,"North Indian, Seafood, Mughlai",4.0,350.0
Mathura,Wow! CBSE The Cafe,"North Indian, Chinese, Momos, Fast Food, Street Food, Shake",4.0,350.0
Mathura,Banjara Hills,"Pizza, Sandwich, Fast Food, Bakery, Street Food",4.0,400.0
Mathura,Bhai Ji Bakers,"North Indian, Chinese",4.0,700.0
Mathura,Swarn Mahal Resturant & Banquet,"North Indian, Chinese",4.0,1000.0
Mathura,Radhey Radhey Mithai Wale,"Mithai, Bakery",4.0,350.0
Mathura,Agrawals Restaurant & Banquet,"North Indian, Chinese",4.0,400.0
Mathura,Indian Falooda Center,"Ice Cream, Shake, Pizza, Pasta, Fast Food",4.0,300.0
Mathura,Khana Khazana Ka Magic,"North Indian, Chinese",4.0,300.0
Mathura,Juicy Restaurant,"North Indian, Chinese",4.0,450.0
Mathura,Ma Ki Thali,"North Indian, Chinese",4.0,300.0
Mathura,The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich, Waffle, Shake",4.0,400.0
Mathura,Prasadam Restaurant,"North Indian, South Indian",4.0,500.0
Mathura,Saini Dhaba And Tea Stall,"Tea, North Indian, Street Food",4.0,500.0
Mathura,Shri Radhika Sweets,"Mithai, Street Food",4.0,200.0
Mathura,Jeetu Bhai Paranthe Wale,"North Indian, Chinese",4.0,200.0
Mathura,Ajay Hotel,"North Indian, Street Food, Chinese, Desserts",4.0,350.0
Mathura,Hot Cross Bun,"Chinese, Fast Food, Street Food",4.0,300.0
Mathura,Momo King,"North Indian, Chinese",4.0,250.0
Mathura,Momo Lover & Home Bakers,"North Indian, Chinese",4.0,550.0
Mathura,Guru Dev Family Restaurant,"North Indian, Chinese",4.0,300.0
Mathura,Shyam Ji Malai Chaap & Fast Food Center,"North Indian, Fast Food, South Indian, Chinese, Momos",4.0,350.0
Mathura,King & Queen Cafe Restro,"Pizza, Burger, Fast Food, Street Food, Shake, Beverages, Chinese, North Indian",4.0,400.0
Mathura,Hotel Shri Radha Rani Family Restaurent,"North Indian, Biryani, Chinese, Street Food",4.0,300.0
Mathura,Da Panjabi Cafe,"North Indian, Chinese, Wraps, Fast Food, Street Food, Momos, Shake, Beverages",4.0,450.0
Mathura,The Friends Zone Pizza,"Pizza, Fast Food",4.0,300.0
Mathura,Snacks Bar,"Street Food, Fast Food, Pizza, Burger",4.0,300.0
Mathura,Shri Krishan Balram Restaurant,"North Indian, South Indian, Chinese, Street Food",4.0,250.0
Mathura,Champaran Ahuna Family Restuarant,"North Indian, Biryani",4.0,350.0
Mathura,Umang Bhojnalay,"North Indian, Shake",4.0,350.0
Mathura,Burger House,"Burger, Pizza, Sandwich, Fast Food, Chinese, Street Food, Shake, Beverages",4.0,300.0
Mathura,Albaik,"Burger, Fast Food, Biryani",4.0,450.0
Mathura,Braj Food,"Chinese, Street Food",4.0,200.0
Mathura,Radha Rani Family Restaurant,"North Indian, Chinese",4.0,300.0
Mathura,Ayush Fast Food,"Fast Food, Chinese, Street Food",4.0,250.0
Mathura,UP 85 Food Cafe,"Sandwich, Fast Food, Beverages",4.0,300.0
Mathura,Shrijee Kachori Corner,"North Indian, Chinese",4.0,100.0
Mathura,Radha Rani Batata Wada Mumbai Ka Wada Pav Center,"Street Food, Mithai",4.0,100.0
Mathura,Jai Bhole Fast Food Corner,"Fast Food, Chinese, Street Food, Beverages",4.0,100.0
Mathura,Rajwada Restaurant,"North Indian, Fast Food",4.0,100.0
Mathura,Hotel Silver Star,"North Indian, Chinese",4.0,1100.0
Mathura,The Live Pizza,"Pizza, Fast Food, Burger",4.0,300.0
Mathura,Healthy Meal,"Cafe, Shake",4.0,200.0
Mathura,New Punjabi Rasoi Chicken Corner,"North Indian, Rolls, Mughlai, Chinese",4.0,450.0
Mathura,Shree Ji Hotel & Bhojnalaya,"North Indian, Chinese, Fast Food, Street Food, Beverages",4.0,400.0
Mathura,The Aakash Bakers,"Bakery, South Indian, Chinese, Fast Food, Street Food, Desserts, Shake, Beverages",4.0,300.0
Mathura,Shri Khatu Shyam Ji Pizza Point,"Pizza, Italian, Fast Food, Street Food",4.0,300.0
Mathura,Sonu Dhaba,"North Indian, Chinese",4.0,300.0
Mathura,Preeti Bhoj Restaurant And Rooms,"North Indian, Street Food, Beverages",4.0,400.0
Mathura,Flavours Restaurant,"North Indian, South Indian, Chinese, Sandwich, Burger, Pizza, Fast Food, Shake",4.0,1000.0
Mathura,Braj Rasoi,"North Indian, Chinese, Rolls",4.0,300.0
Mathura,Shri Radha Krishna Family Dhaba,"North Indian, Street Food",4.0,400.0
Mathura,Baba Dha Dhaba,"North Indian, Chinese",4.0,300.0
Mathura,Punjab Grill,"North Indian, Chinese",4.0,450.0
Mathura,The Meggi Junction,"Fast Food, Shake",4.0,100.0
Mathura,Pahalwan Kachori Wale,"Street Food, Desserts",4.0,100.0
Mathura,Shree Ji Fast Food Dhaba,"North Indian, Chinese, Fast Food",4.0,350.0
Mathura,Kanahiya Agrawal Family Bhojnalaya,"North Indian, Chinese",4.0,450.0
Mathura,Delhi 06,"Chinese, North Indian, Rolls",4.0,300.0
Mathura,Laziz Food Holic,"Burger, Pizza, Fast Food, Beverages",4.0,200.0
Mathura,7 Flowers Garden Veg Restaurant,"Chinese, North Indian, South Indian, Fast Food",4.0,350.0
Mathura,Shri Shanidev Fast Food,"North Indian, Chinese",4.0,200.0
Mathura,Shri Radha Shyam Fast Food And Tiffin Centre,"North Indian, Chinese",4.0,200.0
Mathura,Maharana Restaurant,"Street Food, North Indian, Beverages",4.0,300.0
Mathura,Yadav Bhojnalaya,"North Indian, Chinese",4.0,300.0
Mathura,Duke's Delight Restaurant Mathura,"North Indian, Chinese, Beverages",4.0,1000.0
Mathura,Agrawal Baker's,"Burger, Pizza, Sandwich, Street Food, Desserts",4.0,200.0
Mathura,Ballentine's Family Restro & Lounge,"North Indian, Chinese, Beverages, Shake",4.0,950.0
Mathura,Brij Chai Wala,"Tea, Pizza, Burger, Momos, Pasta, Wraps, Fast Food, Street Food",4.0,300.0
Mathura,Wow Vada Pav,"Street Food, Burger, Sandwich, Wraps",4.0,200.0
Mathura,Yug Kulfi Corner,"Ice Cream, Desserts",4.0,200.0
Mathura,K G F Restaurent,"North Indian, Chinese",4.0,300.0
Mathura,Dosa Mart,"South Indian, Chinese, Fast Food",4.0,150.0
Mathura,Ballentine's Restro & Lounge,"North Indian, Chinese, Fast Food, Beverages",4.0,1000.0
Mathura,Pahalvan Dhaba And Chicklet Chicken Corner,"North Indian, Chinese",4.0,500.0
Mathura,Shri Radha Madhav Bhojnalaya,"North Indian, Salad, Desserts, Beverages",4.0,350.0
Mathura,Upadhyay Ji Dhaba,"North Indian, Chinese",4.0,300.0
Mathura,4Pm By Shriji's,"North Indian, South Indian, Chinese, Rolls, Wraps, Fast Food, Momos, Beverages",4.0,450.0
Mathura,Cafe Love Bite,"Burger, Sandwich, Street Food, Salad, Wraps, Healthy Food, Beverages, Shake",4.0,400.0
Mathura,Love Wings,"Chinese, North Indian, Shake",4.0,400.0
Mathura,B Tech Pani Puri And Snacks,"North Indian, Chinese",4.0,150.0
Mathura,Vishnu Kachori Wala,"North Indian, Chinese",4.0,100.0
Mathura,Shankar Fast Food & Services,"Chinese, Burger, Sandwich, Rolls, Pizza, Street Food",4.0,300.0
Mathura,Jain Restaurant,"North Indian, South Indian",4.0,300.0
Mathura,Upbake,"Fast Food, Pizza, Burger, Sandwich, Street Food",4.0,300.0
Mathura,Al Baik.com,"Burger, Fast Food",4.0,350.0
Mathura,Shri Radha Rani Family Restaurant,"North Indian, Chinese, Biryani, Kebab, Street Food, Beverages",4.0,450.0
Mathura,Pizza Delight Cafe,"Pizza, Fast Food, Beverages",4.0,300.0
Mathura,Yaduvanshi Family Restaurant,"North Indian, Chinese, Street Food, Beverages",4.0,300.0
Mathura,Ebay Pizza,"Fast Food, Pizza",4.0,500.0
Mathura,Dayal Das Foods,"North Indian, Street Food",4.0,150.0
Mathura,The Tandoori Dhaba,"North Indian, Chinese",4.0,200.0
Mathura,Urban 85 Cafe & Restro,"Pizza, Fast Food, Chinese, Momos, Shake, Beverages",4.0,300.0
Mathura,The Club House,"Pizza, Burger, Sandwich, Fast Food, Street Food, Momos, Desserts, Beverages",4.0,200.0
Agra,The Salt Cafe Kitchen & Bar,"North Indian, Chinese",4.9,974.3459915611814
Agra,Unplugged Courtyard,"North Indian, Chinese",4.3,974.3459915611814
Agra,Spiced Brew,"North Indian, Chinese",4.5,974.3459915611814
Agra,Punjabi By Nature,"North Indian, Chinese",4.2,974.3459915611814
Agra,Molecule Air Bar,"North Indian, Chinese",4.5,974.3459915611814
Agra,Palm Burj,"North Indian, Chinese",4.5,974.3459915611814
Agra,Hichkee,"North Indian, Chinese",4.2,974.3459915611814
Agra,Beep,"North Indian, Chinese",4.2,974.3459915611814
Agra,My Bar Headquarters,"North Indian, Chinese",4.4,974.3459915611814
Bangalore,Atlantis,"North Indian, Asian",4.1,2500.0
Bangalore,Jamavar - The Leela Palace,"North Indian, South Indian",4.3,5000.0
Bangalore,Sozo Skyline,"Asian, Chinese, Thai, Sushi",4.1,1800.0
Bangalore,Skygarden Bar & Kitchen,"Asian, Bar Food",4.4,1500.0
Bangalore,Muro,"Thai, Cantonese, Salad, Desserts",4.2,2800.0
Bangalore,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,"North Indian, Continental, Fast Food, Asian, Beverages",4.3,3500.0
Bangalore,Smoor,"Desserts, Bakery, Cafe, Beverages, Ice Cream, Asian, Pasta",4.4,1000.0
Bangalore,Maddy's Resto Pub,"North Indian, Continental, Mughlai, Bar Food",4.1,1000.0
Bangalore,Botany Brew and Kitchen,"North Indian, Chinese, Sushi, Continental, Asian, Thai",4.2,2700.0
Bangalore,Pangeo,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",4.3,3500.0
Bangalore,Glass – Kitchen & Bar,"Modern Indian, North Indian, Continental, Biryani, Bar Food, Seafood, Desserts, Beverages",4.5,2800.0
Bangalore,Kling Brewery,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",4.3,1500.0
Bangalore,High Ultra Lounge - Sheraton Grand Bangalore Hotel,"North Indian, Continental, Finger Food, Desserts",4.0,3600.0
Bangalore,The Black Pearl,"Continental, Salad, North Indian, Seafood, Fast Food, Street Food, Desserts",4.2,1500.0
Bangalore,Flo,"Asian, North Indian, Continental, Finger Food, Sushi, Desserts, Beverages, Thai",4.2,3000.0
Bangalore,Ironhill Kanakapura road,"North Indian, Pizza, Fast Food",4.5,1500.0
Bangalore,Nusa,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food",4.3,1500.0
Bangalore,Maya,"Asian, North Indian, Continental, Pizza, Pasta, Beverages, Juices",4.4,1500.0
Bangalore,Ironhill Bengaluru,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts",4.5,2000.0
Bangalore,Jamming Goat 3.0,"South Indian, Asian, Thai, Continental, North Indian",4.4,1500.0
Bangalore,Oia,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts",4.2,2500.0
Bangalore,Cocobolo,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",4.3,1000.0
Bangalore,BLR Brewing Co.,"Continental, North Indian, Asian, Chinese, Pizza",4.4,1600.0
Bangalore,Babylonia - Global Food & Cocktails,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",4.3,1500.0
Bangalore,Magic Mocktails Cafe,"Beverages, Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Shake",3.9,200.0
Bangalore,Vanamo,"Cafe, Continental, Coffee, International",4.0,2000.0
Bangalore,Stories Bar & Kitchen,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",4.3,1400.0
Bangalore,SkyDeck By Sherlock's,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts",4.1,1800.0
Bangalore,Roxie,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages",4.6,2600.0
Bangalore,Mykos Craft Kitchen & Bar,"Continental, Italian, Chinese, Mediterranean, North Indian, South American, Sushi",4.3,1500.0
Bangalore,Shift Lounge & Bar,"Continental, Bar Food, North Indian, Alcoholic Beverages, Chinese, Mughlai, Desserts, Beverages",4.3,1200.0
Bangalore,Secret Story,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages, Vietnamese, Italian",3.9,1500.0
Bangalore,Byg Brewski Brewing Company,"Continental, Asian, Pasta, Pizza, Burger, Fast Food, Desserts",4.4,1500.0
Bangalore,Rox,"Continental, North Indian, Italian",4.2,1000.0
Bangalore,Macaw By Stories,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",4.4,1800.0
Bangalore,Citrus - The Leela Palace,"North Indian, Continental, Asian, Desserts",4.0,4700.0
Bangalore,The Reservoire,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",4.4,1600.0
Bangalore,Kopitiam Lah,"Malaysian, Asian, Beverages, Desserts, Continental",3.6,2000.0
Bangalore,Brooks And Bonds Brewery,"Continental, American, North Indian, Italian, Pasta, Beverages, Desserts, Pizza",4.1,1600.0
Bangalore,Minsk,"Continental, Asian, North Indian, South Indian, Bar Food, European",4.2,1400.0
Bangalore,Biergarten,"Continental, European, BBQ, Chinese, Asian, Beverages",4.6,2500.0
Bangalore,Nazaara - Courtyard By Marriott,"North Indian, Mughlai, Biryani",4.2,3000.0
Bangalore,Helen's Place,"European, Asian, Modern Indian, Italian, Portuguese, Pizza, Chinese, North Indian",4.0,1500.0
Bangalore,Jollygunj,"North Indian, Bar Food, Alcoholic Beverages, Biryani, Kebab, Finger Food, Desserts, Street Food",4.0,1000.0
Bangalore,The Scene - Craft Kitchen & Bar,"North Indian, Continental, Asian, Desserts, Beverages",4.3,1500.0
Bangalore,Gilly's Super Bar,"Continental, North Indian, Asian, Pizza, Oriental, Italian, Bar Food",4.2,1500.0
Bangalore,Mannheim Craft Brewery,"North Indian, Asian, American, Desserts, BBQ",4.5,1800.0
Bangalore,Magique,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",4.0,1700.0
Bangalore,Daddy,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",4.4,1700.0
Bangalore,ICB Indian Craft Brewery,"North Indian, Asian, Continental, American, Chinese",4.5,2000.0
Bangalore,The Bier Library,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",4.5,1800.0
Bangalore,Hard Rock Cafe,"American, Continental, Italian, Wraps, Burger, Desserts, Fast Food, Beverages",4.6,2500.0
Bangalore,Red Rhino,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",4.5,1700.0
Bangalore,Idylll - Indian Plates & Cocktails,"North Indian, Modern Indian, South Indian, Seafood, Kebab, Alcoholic Beverages, Healthy Food, Desserts",4.5,1800.0
Bangalore,Orah Brew Garden,"Asian, Continental, Desserts, European, Modern Indian",4.4,1500.0
Bangalore,Horizon,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",4.4,3000.0
Bangalore,Oyster Bar & Kitchen,"North Indian, Chinese, Continental, Beverages, Bar Food, Desserts, Asian, Pizza",4.5,1600.0
Bangalore,"Stories 2.0, HSR","North Indian, Continental, Asian, American, Bar Food",4.4,1000.0
Bangalore,Los Cavos,"Peruvian, Desserts, Alcoholic Beverages, Beverages",4.3,2000.0
Bangalore,Escape by Brewklyn - Brewery & Kitchen,"Continental, Asian, North Indian, Pizza, Burger",4.3,1800.0
Bangalore,Big Pitcher,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",4.4,1800.0
Bangalore,Boho,"Continental, Asian, American, Mexican, Beverages, Desserts, Korean, Italian",4.1,550.0
Bangalore,Fenny's Lounge And Kitchen,"Mediterranean, Continental, Italian, Desserts, Beverages",4.5,1900.0
Bangalore,Barbecue By Punjab Grill,"BBQ, Mughlai, North Indian, Salad, Desserts",4.2,1600.0
Bangalore,Be Luru - Craft Kitchen & Bar,"South Indian, Seafood, Kebab",4.4,1000.0
Bangalore,Indigo XP,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",4.1,2000.0
Bangalore,Fox In The Field,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",4.3,1500.0
Bangalore,Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4.4,2000.0
Bangalore,Bier Loft Brewing Co,"Continental, Asian, North Indian, South Indian, Pizza, Desserts",4.3,1000.0
Bangalore,Smoke House Deli,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages",4.5,1800.0
Bangalore,Sarjapur SOCIAL,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Korean, Beverages",4.3,1500.0
Bangalore,Copitas - Four Seasons Hotel,"Bar Food, Continental, Beverages",4.5,3000.0
Bangalore,153 Biere Street,"Asian, Continental, North Indian, Malaysian, Italian, Desserts",4.2,1600.0
Bangalore,Oney Brewhouse,"American, Continental, Italian, South Indian, North Indian, Asian, Chinese",4.0,1500.0
Bangalore,Mirage,"Asian, Chinese, Thai, Beverages, Desserts",4.1,3000.0
Bangalore,The Lazy Turtle,"North Indian, Chinese, Seafood, Fast Food, Pizza, Bar Food, Desserts",4.1,1000.0
Bangalore,Hoot Cafe & Brewery Sarjapura,"Continental, Italian, North Indian, Beverages",4.2,2000.0
Bangalore,Don't Tell Mama,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",4.1,2000.0
Bangalore,One8 Commune,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages",4.0,3000.0
Bangalore,Gilly's Restobar,"North Indian, European, Bar Food, Italian, Fast Food, Desserts, Beverages",4.2,1500.0
Bangalore,"Torye Drink, Dine & Dance","North Indian, Chinese",3.9,2000.0
Bangalore,By Chance,"Italian, Continental",4.2,2000.0
Bangalore,Tipsy Bull Brewhouse & Kitchen,"North Indian, Continental, Chinese, Asian, European, Desserts, Beverages",4.1,1500.0
Bangalore,Ganbeii,"Kerala, North Indian, Pasta, Continental, Pizza, Burger, Desserts, Alcoholic Beverages",4.5,1000.0
Bangalore,Vapour Brewpub And Diner,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",4.3,2200.0
Bangalore,HOD - House Of Dopamine,"Continental, Chinese, Asian, Alcoholic Beverages, North Indian, South Indian, Pizza, Bar Food",4.0,1200.0
Bangalore,Toit,"Italian, American, European, Continental, Desserts",4.9,2500.0
Bangalore,Skyroot by TOF,"Continental, Asian, North Indian, Desserts, Bar Food, International",4.1,1500.0
Bangalore,ShakesBierre,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",4.4,1800.0
Bangalore,Sly Granny,"Italian, European, Bar Food, Salad, Burger, Sandwich, Desserts, Beverages",4.3,2500.0
Bangalore,Bastian Garden City,"Asian, Chinese, Seafood",3.4,4000.0
Bangalore,Stories Brewery & Kitchen,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",4.4,1600.0
Bangalore,The Soda Factory,"North Indian, Chinese, Pasta, Pizza, Fast Food, Biryani, Desserts, Beverages",4.3,1100.0
Bangalore,Pinxx - Royal Orchid Central,"Continental, North Indian, Chinese, Sandwich, Asian, Desserts, Beverages",4.1,1900.0
Bangalore,Just BLR,"North Indian, Chinese, Biryani, Beverages",4.4,2500.0
Bangalore,Jook Taproom,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",4.4,1600.0
Bangalore,Nook - Aloft Bengaluru Cessna Business Park,"North Indian, Continental, Asian, Fast Food, South Indian, Desserts, Waffle",4.0,1200.0
Bangalore,Gulp Cocktails And Kitchen,"Continental, South Indian, Kebab, Mangalorean, Biryani, North Indian, Chinese, Desserts",4.2,1500.0
Bangalore,Mangroove Taproom and Kitchen,"Chinese, Asian, Italian, Pizza, North Indian, Bar Food, Continental, Beverages",4.4,2500.0
Bangalore,Bramble,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",4.4,1800.0
Bangalore,Hashtag 88,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",4.3,2000.0
Bangalore,The Pizza Bakery,"Pizza, Italian, Pasta, Salad, Desserts, Continental",4.3,1500.0
Bangalore,Bob's Bar,"Bar Food, Finger Food, Beverages, Sandwich, Desserts",4.2,1000.0
Bangalore,The Fixx,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",4.0,1800.0
Bangalore,The Yard,"Asian, North Indian, Continental, Pizza, Italian, Desserts, Beverages",4.2,1000.0
Bangalore,Little Italy,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",4.0,1700.0
Bangalore,The Soda Factory,"Continental, Chinese, Thai",4.0,1000.0
Bangalore,Omega IX Cocktail Bar And Global Kitchen,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",4.2,1800.0
Bangalore,No Limmits Lounge And Club,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages, Kebab, Desserts",4.0,2500.0
Bangalore,Terrace By House Of Commons,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",4.5,2000.0
Bangalore,LUPA,"Mediterranean, European, Italian, Salad, Desserts, Beverages",3.6,5000.0
Bangalore,XOOX Brewmill,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",4.3,2000.0
Bangalore,KOKO,"Asian, Sushi, Desserts, Chinese, Beverages",4.6,3500.0
Bangalore,Taiki,"Sushi, Korean, Japanese, Salad, Asian, Desserts, Beverages",4.0,1700.0
Bangalore,Hydra Club & Kitchen,"Continental, Biryani, North Indian, South Indian, Japanese, Chinese",4.2,1200.0
Bangalore,Kappa Chakka Kandhari,"Kerala, South Indian, Desserts, Beverages",4.4,1800.0
Bangalore,Fire Station,"Finger Food, North Indian, Continental, Italian, Chinese, Beverages, Desserts",4.2,1700.0
Bangalore,Peepai,"North Indian, Pizza, Chinese, European, Bar Food, Biryani, Desserts, Beverages",4.5,2500.0
Bangalore,PizzaExpress,"Pizza, Italian, Salad, Bakery, Coffee, Beverages, Pasta, Cafe",4.4,1400.0
Bangalore,Jeff's Cantina,"Bar Food, Italian",4.1,2400.0
Bangalore,Kaavu,"Asian, European, Modern Indian, Cafe, Desserts, Bakery, Italian, Continental",4.1,1500.0
Bangalore,Levels Pub & Kitchen,"Asian, South Indian, North Indian",4.5,1700.0
Bangalore,Chin Lung Resto Bar - Koramangla,"Bar Food, Chinese, North Indian",4.1,1400.0
Bangalore,Float Brewery,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",4.4,2000.0
Bangalore,Hitchki,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages",4.3,2000.0
Bangalore,La Gioia,"Pizza, Italian, Pasta",4.0,1600.0
Bangalore,Hungry Hippie,"North Indian, Italian, Continental, Mexican, Pizza, Fast Food, Desserts, Beverages",4.1,1200.0
